index,A1-level_bin
0,2
1,3
2,2
3,6
4,5
5,3
6,0
7,1
8,7
9,8
10,2
11,2
12,5
13,4
14,1
15,3
16,3
17,1
18,3
19,3
20,4
21,1
22,0
23,4
24,5
25,4
26,1
27,2
28,6
29,2
30,6
31,5
32,3
33,6
34,6
35,3
36,3
37,3
38,2
39,3
40,6
41,2
42,3
43,8
44,1
45,3
46,2
47,3
48,6
49,0
50,4
51,2
52,1
53,7
54,3
55,4
56,7
57,5
58,5
59,3
60,3
61,6
62,2
63,4
64,4
65,1
66,3
67,5
68,2
69,4
70,6
71,6
72,1
73,3
74,8
75,2
76,4
77,2
78,4
79,1
80,7
81,5
82,2
83,2
84,6
85,3
86,3
87,6
88,2
89,3
90,4
91,3
92,3
93,4
94,3
95,4
96,3
97,6
98,5
99,3
100,6
101,6
102,3
103,1
104,3
105,2
106,3
107,5
108,2
109,3
110,4
111,3
112,4
113,2
114,1
115,6
116,2
117,3
118,1
119,5
120,7
121,2
122,3
123,2
124,1
125,8
126,2
127,3
128,3
129,2
130,3
131,3
132,1
133,2
134,3
135,4
136,3
137,3
138,2
139,1
140,0
141,4
142,6
143,1
144,3
145,1
146,1
147,6
148,3
149,7
150,3
151,2
152,6
153,1
154,1
155,2
156,1
157,1
158,3
159,1
160,6
161,1
162,5
163,3
164,6
165,3
166,1
167,3
168,2
169,4
170,1
171,5
172,2
173,1
174,4
175,0
176,4
177,2
178,1
179,3
180,4
181,2
182,7
183,4
184,4
185,2
186,5
187,2
188,3
189,2
190,2
191,3
192,6
193,4
194,4
195,4
196,1
197,5
198,4
199,5
200,2
201,3
202,5
203,5
204,1
205,3
206,3
207,2
208,2
209,3
210,2
211,2
212,2
213,6
214,3
215,1
216,5
217,1
218,1
219,6
220,0
221,6
222,3
223,4
224,3
225,6
226,1
227,5
228,7
229,0
230,5
231,3
232,3
233,8
234,3
235,6
236,6
237,6
238,1
239,2
240,7
241,3
242,3
243,6
244,8
245,2
246,6
247,4
248,2
249,1
250,1
251,0
252,8
253,6
254,3
255,2
256,2
257,4
258,0
259,0
260,6
261,6
262,5
263,5
264,7
265,2
266,5
267,3
268,5
269,2
270,3
271,6
272,2
273,2
274,2
275,1
276,2
277,5
278,4
279,8
280,7
281,6
282,6
283,3
284,1
285,4
286,3
287,7
288,3
289,7
290,3
291,6
292,4
293,6
294,8
295,5
296,3
297,7
298,3
299,5
300,3
301,4
302,4
303,3
304,3
305,1
306,3
307,3
308,3
309,4
310,6
311,8
312,3
313,2
314,4
315,1
316,4
317,3
318,3
319,3
320,6
321,4
322,3
323,3
324,3
325,2
326,6
327,3
328,3
329,3
330,6
331,1
332,6
333,2
334,7
335,7
336,2
337,3
338,7
339,6
340,2
341,2
342,2
343,3
344,7
345,1
346,2
347,3
348,3
349,7
350,2
351,1
352,3
353,7
354,4
355,6
356,4
357,3
358,2
359,3
360,1
361,5
362,1
363,6
364,5
365,3
366,3
367,3
368,3
369,1
370,3
371,3
372,6
373,3
374,4
375,0
376,2
377,1
378,6
379,5
380,4
381,6
382,2
383,5
384,1
385,2
386,1
387,1
388,3
389,6
390,3
391,6
392,4
393,3
394,1
395,2
396,4
397,3
398,2
399,1
400,5
401,1
402,1
403,2
404,6
405,3
406,1
407,2
408,2
409,4
410,3
411,6
412,1
413,3
414,5
415,6
416,5
417,5
418,3
419,6
420,6
421,5
422,2
423,2
424,6
425,3
426,2
427,4
428,3
429,6
430,2
431,3
432,3
433,1
434,1
435,5
436,0
437,6
438,3
439,6
440,4
441,3
442,1
443,3
444,2
445,1
446,4
447,2
448,6
449,3
450,5
451,3
452,2
453,6
454,3
455,5
456,6
457,2
458,2
459,8
460,6
461,3
462,5
463,3
464,2
465,4
466,2
467,4
468,3
469,5
470,2
471,3
472,5
473,4
474,6
475,3
476,4
477,2
478,3
479,1
480,8
481,7
482,4
483,4
484,4
485,2
486,3
487,1
488,2
489,7
490,0
491,1
492,8
493,4
494,6
495,6
496,4
497,5
498,3
499,3
500,2
501,4
502,1
503,3
504,3
505,2
506,6
507,6
508,2
509,5
510,5
511,3
512,1
513,4
514,1
515,4
516,6
517,2
518,5
519,3
520,7
521,1
522,5
523,3
524,1
525,6
526,5
527,3
528,2
529,3
530,2
531,5
532,3
533,1
534,1
535,1
536,3
537,3
538,3
539,3
540,2
541,5
542,3
543,6
544,6
545,1
546,4
547,6
548,2
549,3
550,2
551,3
552,3
553,1
554,4
555,7
556,1
557,3
558,2
559,3
560,2
561,1
562,3
563,3
564,7
565,2
566,7
567,2
568,2
569,0
570,5
571,3
572,4
573,2
574,2
575,4
576,0
577,1
578,3
579,2
580,2
581,6
