index,A1-uid
0,86
1,5
2,118
3,38
4,36
5,6
6,74
7,298
8,11
9,288
10,2
11,115
12,36
13,62
14,176
15,72
16,33
17,46
18,139
19,5
20,23
21,66
22,74
23,69
24,94
25,154
26,78
27,49
28,42
29,63
30,127
31,36
32,34
33,185
34,127
35,81
36,33
37,22
38,63
39,35
40,7
41,49
42,31
43,145
44,45
45,19
46,143
47,6
48,294
49,74
50,62
51,298
52,15
53,8
54,4
55,175
56,8
57,36
58,99
59,3
60,4
61,25
62,68
63,62
64,69
65,85
66,3
67,99
68,49
69,167
70,132
71,166
72,88
73,4
74,145
75,291
76,180
77,115
78,175
79,15
80,8
81,36
82,86
83,68
84,38
85,158
86,6
87,7
88,86
89,33
90,23
91,81
92,189
93,65
94,82
95,23
96,72
97,216
98,47
99,158
100,269
101,25
102,81
103,17
104,50
105,86
106,19
107,47
108,56
109,130
110,180
111,61
112,69
113,18
114,87
115,25
116,2
117,19
118,85
119,65
120,8
121,77
122,22
123,115
124,12
125,258
126,125
127,82
128,53
129,184
130,61
131,4
132,30
133,125
134,72
135,23
136,4
137,21
138,18
139,66
140,74
141,69
142,321
143,17
144,4
145,80
146,45
147,39
148,82
149,8
150,61
151,100
152,25
153,78
154,1
155,129
156,1
157,51
158,31
159,88
160,25
161,12
162,47
163,32
164,39
165,72
166,12
167,159
168,115
169,69
170,152
171,36
172,77
173,1
174,69
175,301
176,62
177,18
178,15
179,96
180,62
181,168
182,11
183,65
184,232
185,100
186,36
187,111
188,119
189,86
190,170
191,81
192,136
193,23
194,69
195,69
196,14
197,94
198,69
199,10
200,13
201,31
202,219
203,10
204,107
205,64
206,5
207,13
208,86
209,20
210,2
211,18
212,56
213,142
214,307
215,17
216,94
217,17
218,66
219,269
220,75
221,43
222,59
223,65
224,33
225,57
226,311
227,10
228,8
229,74
230,94
231,101
232,183
233,258
234,81
235,38
236,7
237,185
238,66
239,49
240,8
241,61
242,59
243,185
244,145
245,18
246,25
247,23
248,18
249,15
250,111
251,177
252,145
253,39
254,19
255,100
256,18
257,180
258,75
259,177
260,7
261,269
262,10
263,10
264,8
265,13
266,36
267,4
268,153
269,86
270,5
271,185
272,77
273,2
274,115
275,17
276,229
277,47
278,62
279,145
280,11
281,7
282,166
283,64
284,12
285,69
286,3
287,11
288,267
289,8
290,59
291,216
292,62
293,24
294,258
295,94
296,4
297,8
298,90
299,94
300,50
301,65
302,23
303,101
304,3
305,165
306,183
307,61
308,101
309,69
310,127
311,145
312,22
313,56
314,23
315,151
316,62
317,61
318,322
319,72
320,38
321,167
322,5
323,20
324,4
325,68
326,127
327,83
328,81
329,79
330,7
331,1
332,7
333,13
334,26
335,8
336,13
337,22
338,8
339,38
340,2
341,291
342,63
343,61
344,26
345,12
346,18
347,4
348,22
349,8
350,49
351,30
352,5
353,8
354,69
355,239
356,69
357,147
358,18
359,56
360,87
361,47
362,1
363,212
364,10
365,22
366,81
367,224
368,64
369,17
370,3
371,5
372,216
373,31
374,23
375,75
376,77
377,152
378,25
379,94
380,65
381,185
382,13
383,47
384,12
385,77
386,78
387,15
388,4
389,57
390,3
391,39
392,69
393,22
394,15
395,2
396,62
397,110
398,2
399,1
400,10
401,105
402,12
403,13
404,42
405,3
406,15
407,100
408,13
409,23
410,81
411,39
412,80
413,159
414,36
415,239
416,10
417,94
418,83
419,25
420,127
421,175
422,18
423,49
424,39
425,3
426,100
427,203
428,19
429,38
430,129
431,188
432,72
433,17
434,17
435,287
436,116
437,43
438,31
439,7
440,180
441,19
442,111
443,64
444,18
445,122
446,175
447,2
448,127
449,81
450,284
451,59
452,18
453,127
454,32
455,36
456,7
457,13
458,49
459,258
460,25
461,147
462,10
463,22
464,77
465,23
466,223
467,203
468,205
469,47
470,2
471,101
472,36
473,62
474,238
475,33
476,23
477,125
478,6
479,186
480,258
481,8
482,69
483,65
484,69
485,2
486,4
487,278
488,125
489,11
490,148
491,12
492,145
493,65
494,25
495,127
496,69
497,10
498,5
499,35
500,18
501,69
502,117
503,19
504,6
505,100
506,38
507,42
508,18
509,16
510,99
511,35
512,122
513,23
514,176
515,175
516,123
517,13
518,16
519,81
520,8
521,17
522,10
523,5
524,12
525,25
526,36
527,19
528,18
529,112
530,13
531,99
532,6
533,278
534,73
535,80
536,64
537,33
538,33
539,241
540,152
541,10
542,64
543,42
544,132
545,157
546,23
547,25
548,115
549,35
550,49
551,3
552,82
553,280
554,120
555,8
556,97
557,91
558,228
559,146
560,115
561,186
562,31
563,31
564,8
565,68
566,8
567,63
568,13
569,270
570,16
571,64
572,203
573,13
574,13
575,62
576,150
577,28
578,64
579,31
580,125
581,25
582,114
583,145
584,47
585,120
586,175
587,32
588,62
589,98
590,72
591,86
592,10
593,2
594,20
595,69
596,87
597,25
598,32
599,13
600,8
601,258
602,65
603,61
604,64
605,45
606,28
607,66
608,8
609,100
610,51
611,185
612,2
613,33
614,129
615,35
616,31
617,288
618,23
619,33
620,13
621,311
622,8
623,15
624,101
625,82
626,118
627,180
628,64
629,81
630,25
631,168
632,187
633,115
634,109
635,10
636,23
637,16
638,10
639,86
640,6
641,25
642,42
643,7
644,160
645,85
646,282
647,287
648,62
649,25
650,126
651,125
652,288
653,45
654,62
655,150
656,81
657,135
658,33
659,111
660,284
661,25
662,8
663,15
664,1
665,36
666,13
667,147
668,30
669,183
670,19
671,142
672,127
673,88
674,14
675,47
676,168
677,189
678,83
679,278
680,68
681,30
682,23
683,38
684,64
685,13
686,33
687,69
688,23
689,74
690,11
691,185
692,51
693,23
694,13
695,5
696,5
697,39
698,31
699,65
700,284
701,12
702,168
703,8
704,111
705,74
706,8
707,20
708,63
709,57
710,116
711,4
712,11
713,160
714,8
715,109
716,167
717,69
718,13
719,49
720,45
721,120
722,104
723,8
724,110
725,3
726,42
727,22
728,23
729,129
730,8
731,31
732,19
733,127
734,291
735,4
736,13
737,181
738,62
739,39
740,100
741,111
742,10
743,7
744,129
745,17
746,11
747,2
748,25
749,18
750,120
751,82
752,74
753,7
754,7
755,12
756,23
757,35
758,165
759,6
760,57
761,171
762,176
763,21
764,69
765,62
766,61
767,31
768,185
769,72
770,25
771,28
772,38
773,63
774,13
775,145
776,23
777,288
778,139
779,41
780,33
781,18
782,82
783,133
