category1,category2,key,subweapon,special,mainweapon,reskin,splatnet,[de-DE],[en-GB],[en-US],[es-ES],[es-MX],[fr-CA],[fr-FR],[it-IT],[ja-JP],[nl-NL],[ru-RU],[zh-CN],[zh-TW],main_power_up
shooter,shooter,52gal,pointsensor,sphere,52gal,52gal,50,.52 Gallon,.52 Gal,.52 Gal,Salpicadora 2000,Salpicadora 2000,Calibre 2000,Calibre 2000,Calibro 2000,.52ガロン,.52 Kaliter,Струевик .52,.52 Gal,.52 Gal,shot_accuracy
shooter,shooter,52gal_becchu,splashshield,nicedama,52gal,52gal_becchu,52,Kensa-.52-Gallon,Kensa .52 Gal,Kensa .52 Gal,Salpicadora 2000 elegante,Salpicadora 2000 Tonken,Calibre 2000 Thony K,Calibre 2000 K,Calibro 2000 Nero Marlin,.52ガロンベッチュー,Toni Kensa .52 Kaliter,Струевик .52 от С. Кусаки,Kensa .52 Gal,Kensa .52 Gal,shot_accuracy
shooter,shooter,52gal_deco,curlingbomb,presser,52gal,52gal_deco,51,.52 Gallon Deko,.52 Gal Deco,.52 Gal Deco,Salpicadora 2000 DX,Salpicadora 2000 chic,Calibre 2000 chic,Calibre 2000 chic,Calibro 2000 DX,.52ガロンデコ,.52 Kaliter Deco,Струевик .52 «Деко»,.52 Gal Deco,.52 Gal Deco,shot_accuracy
shooter,shooter,96gal,sprinkler,armor,96gal,96gal,80,.96 Gallon,.96 Gal,.96 Gal,Salpicadora 3000,Salpicadora 3000,Calibre 3000,Calibre 3000,Calibro 3000,.96ガロン,.96 Kaliter,Струевик .96,.96 Gal,.96 Gal,damage
shooter,shooter,96gal_deco,splashshield,chakuchi,96gal,96gal_deco,81,.96 Gallon Deko,.96 Gal Deco,.96 Gal Deco,Salpicadora 3000 DX,Salpicadora 3000 chic,Calibre 3000 chic,Calibre 3000 chic,Calibro 3000 DX,.96ガロンデコ,.96 Kaliter Deco,Струевик .96 «Деко»,.96 Gal Deco,.96 Gal Deco,damage
charger,charger,bamboo14mk1,curlingbomb,missile,bamboo14mk1,bamboo14mk1,2050,Klotzer 14-A,Bamboozler 14 Mk I,Bamboozler 14 Mk I,Bambufusil 14-I,Bamzuka 14-I,Bimbamboum Mk I,Bimbamboum Mk I,Bimbamboom 14-I,14式竹筒銃・甲,Bamboem 14-A,Бамбух 14-I,Bamboozler 14 Mk I,Bamboozler 14 Mk I,damage
charger,charger,bamboo14mk2,poisonmist,quickbomb_pitcher,bamboo14mk1,bamboo14mk2,2051,Klotzer 14-B,Bamboozler 14 Mk II,Bamboozler 14 Mk II,Bambufusil 14-II,Bamzuka 14-II,Bimbamboum Mk II,Bimbamboum Mk II,Bimbamboom 14-II,14式竹筒銃・乙,Bamboem 14-B,Бамбух 14-II,Bamboozler 14 Mk II,Bamboozler 14 Mk II,damage
charger,charger,bamboo14mk3,tansanbomb,bubble,bamboo14mk1,bamboo14mk3,2052,Klotzer 14-C,Bamboozler 14 Mk III,Bamboozler 14 Mk III,Bambufusil 14-III,Bamzuka 14-III,Bimbamboum Mk III,Bimbamboum Mk III,Bimbamboom 14-III,14式竹筒銃・丙,Bamboem 14-C,Бамбух 14-III,Bamboozler 14 Mk III,Bamboozler 14 Mk III,damage
splatling,splatling,barrelspinner,sprinkler,presser,barrelspinner,barrelspinner,4010,Splatling,Heavy Splatling,Heavy Splatling,Tintralladora,Garabateador Pro,Badigeonneur,Badigeonneur,Splatling a tanica,バレルスピナー,Spetling,Брызгомет XL,Heavy Splatling,Heavy Splatling,duration_of_firing
splatling,splatling,barrelspinner_deco,splashshield,bubble,barrelspinner,barrelspinner_deco,4011,Splatling Deko,Heavy Splatling Deco,Heavy Splatling Deco,Tintralladora DX,Garabateador Pro chic,Badigeonneur chic,Badigeonneur chic,Splatling a tanica DX,バレルスピナーデコ,Spetling Deco,Брызгомет XL «Деко»,Heavy Splatling Deco,Heavy Splatling Deco,duration_of_firing
splatling,splatling,barrelspinner_remix,pointsensor,nicedama,barrelspinner,barrelspinner_remix,4012,Splatling Ultrabass,Heavy Splatling Remix,Heavy Splatling Remix,Tintralladora tecno,Garabateador Pro festivo,Badigeonneur Disco,Badigeonneur Disco,Splatling a tanica techno,バレルスピナーリミックス,Spetling Remix,Брызгомет XL «Ремикс»,Heavy Splatling Remix,Heavy Splatling Remix,duration_of_firing
shooter,shooter,bold,curlingbomb,chakuchi,bold,bold,0,Disperser,Sploosh-o-matic,Sploosh-o-matic,Marcador,Marcador grueso,Marqueur lourd,Marqueur lourd,Marker,ボールドマーカー,Spettertuit,Плюхотрон,Sploosh-o-matic,Sploosh-o-matic,damage
shooter,shooter,bold_7,splashbomb,ultrahanko,bold,bold_7,2,Disperser 7,Sploosh-o-matic 7,Sploosh-o-matic 7,Marcador versátil,Marcador grueso 7,Marqueur lourd 7,Marqueur lourd 7,Marker multi,ボールドマーカー7,Spettertuit 7,Плюхотрон-7,Sploosh-o-matic 7,Sploosh-o-matic 7,damage
shooter,shooter,bold_neo,jumpbeacon,missile,bold,bold_neo,1,Disperser Neo,Neo Sploosh-o-matic,Neo Sploosh-o-matic,Marcador neo,Marcador grueso neo,Marqueur lourd néo,Marqueur lourd Néo,Marker Neo,ボールドマーカーネオ,Spettertuit Neo,Плюхотрон «Нео»,Neo Sploosh-o-matic,Neo Sploosh-o-matic,damage
shooter,shooter,bottlegeyser,splashshield,presser,bottlegeyser,bottlegeyser,400,Quetscher,Squeezer,Squeezer,Tintopresor,Tintopresor,Compresseur,Compresseur,Strizzer,ボトルガイザー,Floeper,Бутылятор,Squeezer,Squeezer,damage
shooter,shooter,bottlegeyser_foil,splashbomb,bubble,bottlegeyser,bottlegeyser_foil,401,Quetscher Fol,Foil Squeezer,Foil Squeezer,Tintopresor B,Tintopresor Foil,Compresseur aluminium,Compresseur alu,Strizzer B,ボトルガイザーフォイル,Foil Floeper,Бутылятор «Блеск»,Foil Squeezer,Foil Squeezer,damage
slosher,slosher,bucketslosher,kyubanbomb,missile,bucketslosher,bucketslosher,3000,Schwapper,Slosher,Slosher,Derramatic,Derramatic,Seauceur,Seauceur,Secchiostro,バケットスロッシャー,Morser,Ведроган,Slosher,Slosher,damage_from_higher_grounds
slosher,slosher,bucketslosher_deco,sprinkler,sphere,bucketslosher,bucketslosher_deco,3001,Schwapper Deko,Slosher Deco,Slosher Deco,Derramatic DX,Derramatic chic,Seauceur chic,Seauceur chic,Secchiostro DX,バケットスロッシャーデコ,Morser Deco,Ведроган «Деко»,Slosher Deco,Slosher Deco,damage_from_higher_grounds
slosher,slosher,bucketslosher_soda,splashbomb,quickbomb_pitcher,bucketslosher,bucketslosher_soda,3002,Sprudel-Schwapper,Soda Slosher,Soda Slosher,Derramatic centella,Derramatic burbujeante,Seauceur pétillant,Seauceur Diabolo,Secchiostro frizzante,バケットスロッシャーソーダ,Bruismorser,Ведроган «Содовый»,Soda Slosher,Soda Slosher,damage_from_higher_grounds
brella,brella,campingshelter,jumpbeacon,bubble,campingshelter,campingshelter,6010,Camp-Pluviator,Tenta Brella,Tenta Brella,Paratintas maxi,Paratintas forestal,Méga para-encre,Para-encre XL,Sparatenda,キャンピングシェルター,Kampeerplenzer,Зонтент,Tenta Brella,Tenta Brella,canopy_durability
brella,brella,campingshelter_camo,trap,ultrahanko,campingshelter,campingshelter_camo,6012,Camp-Pluviator Camo,Tenta Camo Brella,Tenta Camo Brella,Paratintas maxi camuflaje,Paratintas forestal camuflaje,Para-encre XL camo,Para-encre XL treillis,Sparatenda mimetico,キャンピングシェルターカーモ,Kampeerplenzer Camo,Зонтент «Спецназ»,Tenta Camo Brella,Tenta Camo Brella,canopy_durability
brella,brella,campingshelter_sorella,splashshield,curlingbomb_pitcher,campingshelter,campingshelter_sorella,6011,Sorella-Camp-Pluviator,Tenta Sorella Brella,Tenta Sorella Brella,Paratintas maxi B,Paratintas forestal Sorella,Méga para-encre Sorella,Para-encre XL Sorella,Sparatenda Solerra,キャンピングシェルターソレーラ,Sorella Kampeerplenzer,Зонтент «Родиччи»,Tenta Sorella Brella,Tenta Sorella Brella,canopy_durability
